id	form_id	section	ord	passage_id	passage_type	passage_title	passage_text	topic	skill_code	difficulty	question	choice_a	choice_b	choice_c	choice_d	answer	explanation
FA_EN_001	A	EN	1					Subject–Verb Agreement	E1.A	Easy	The bouquet of wildflowers ___ stunning on the table.	is	are	were	have been	A	Singular head noun “bouquet” → singular verb “is.”
FA_EN_002	A	EN	2					Pronoun Case	E2.B	Easy	Between you and ___, this schedule won’t work.	I	me	myself	we	B	Object of preposition → “me.”
FA_EN_003	A	EN	3					Verb Tense: Sequence	E3.F	Medium	By the time the tour started, the guide ___ the safety rules.	had explained	explained	has explained	was explaining	A	Use past perfect for the earlier past action.
FA_EN_004	A	EN	4					Comma: Nonessential Clause	E5.B	Medium	The park, ___, attracts thousands.	which opened last year	which opened last year,	which opened last year;	that opened last year	A	Nonessential clause needs commas both sides; only A completes the sentence correctly.
FA_EN_005	A	EN	5					Parallelism	E4.C	Medium	The internship requires accuracy, reliability, and ___.	clear communication	communicating clearly	to communicate clearly	you communicate clearly	A	Match noun forms.
FA_EN_006	A	EN	6					Transition (Add)	E8.D	Medium	The device is efficient; ___, it lowers costs.	moreover	nevertheless	meanwhile	otherwise	A	“Moreover” adds a supporting point.
FA_EN_007	A	EN	7					Semicolon + Conjunctive Adv.	E5.G	Medium	We met the deadline; ___, we stayed under budget.	however	moreover	meanwhile	conversely	B	Semicolon before conjunctive adverb; “moreover” fits meaning.
FA_EN_008	A	EN	8					Modifier Placement	E4.B	Easy	She nearly read the entire report. Best fix?	She read nearly the entire report.	Nearly she read the entire report.	She read the entire report nearly.	She read the nearly entire report.	A	Place “nearly” next to what it limits.
FA_EN_009	A	EN	9					Who vs Whom	E2.D	Medium	The engineer ___ the panel selected presented last.	who	whom	which	that	B	Object of “selected” → “whom.”
FA_EN_010	A	EN	10					Concision	E8.Q	Easy	In order to graduate, students must complete a project.	To graduate, students must complete a project.	In order for graduation to occur, a project must be completed by students.	For the purpose of graduating, students are required to complete a project.	Students must be capable of completing a project in order to graduate.	A	Trim needless words.
FA_EN_011	A	EN	11					Comma Splice Fix	E7.B	Medium	The experiment ended, the lights were turned off.	The experiment ended; the lights were turned off.	The experiment ended, because the lights were turned off.	The experiment ended, and the lights were turned off.	The experiment ended however, the lights were turned off.	A	Semicolon or comma + FANBOYS; A is concise and correct.
FA_EN_012	A	EN	12					Its vs It’s	E2.E	Easy	The committee delayed ___ decision.	its	it’s	its’	it is	A	Possessive “its” has no apostrophe.
FA_EN_013	A	EN	13					Comparison Logic	E4.W	Hard	Unlike most cats, most dogs’ tails ___ expressive.	are	is	are most	was	A	Match plural subject “tails” → “are.” Fixes faulty comparison within options.
FA_EN_014	A	EN	14					Colon for List	E5.C	Easy	Pack the following: batteries, maps, and water.	Correct as is	Pack the following, batteries, maps, and water.	Pack the following; batteries, maps, and water.	Pack the following—batteries, maps and water.	A	Colon after a complete clause to introduce a list.
FA_EN_015	A	EN	15					Subjunctive (Hypothetical)	E3.C	Medium	If I ___ you, I’d revise that sentence.	were	was	am	had been	A	Use “were” in hypotheticals.
FA_EN_016	A	EN	16					Appositive Commas	E5.R	Medium	My brother, a licensed pilot, flies weekly.	Correct as is	My brother a licensed pilot flies weekly.	My brother a licensed pilot, flies weekly.	My brother, a licensed pilot flies weekly.	A	Nonessential appositive needs commas both sides.
FA_EN_017	A	EN	17					Ambiguous Pronoun	E2.T	Hard	Ava texted Jordan after Taylor sent her the file.	Ambiguous; specify who received the file	Ava texted Jordan after Taylor sent Ava the file.	Ava texted Jordan after Taylor sent Jordan the file.	Keep as is	A	Original “her” is unclear.
FA_EN_018	A	EN	18					Subject–Verb Agreement	E1.K	Medium	A number of factors ___ involved.	is	are	was	has been	B	“A number of” takes plural verb.
FA_EN_019	A	EN	19					Verb Consistency	E3.B	Medium	The article explains the method and ___ two limitations.	identified	identifies	was identifying	has identified	B	Keep present tense with “explains.”
FA_EN_020	A	EN	20					Dashes vs Commas	E5.M	Medium	The solution — though imperfect — worked.	Correct as is	The solution, though imperfect— worked.	The solution— though imperfect, worked.	The solution though imperfect worked.	A	Use matching punctuation to bracket nonessential info.
FA_EN_021	A	EN	21					Fragment Fix	E7.A	Easy	Because the data were limited.	Because the data were limited, the conclusion was tentative.	Because the data were limited. The conclusion was tentative.	The conclusion was tentative, because the data were limited.	Because, the data were limited, the conclusion was tentative.	A	Attach dependent clause to an independent clause.
FA_EN_022	A	EN	22					Tone/Precision	E8.L	Medium	Best revision: The results were good.	The results were statistically significant.	The results were kind of good.	The results were totally great.	The results were decent.	A	Prefer precise, formal wording.
FA_EN_023	A	EN	23					Idiom	E4.K	Easy	The café is famous ___ its pies.	for	about	of	with	A	“Famous for” is standard.
FA_EN_024	A	EN	24					Coordination vs Subordination	E7.R	Medium	The policy is controversial, it affects many people.	The policy is controversial because it affects many people.	The policy is controversial; because it affects many people.	The policy is controversial, and because it affects many people.	Controversial the policy is, because it affects many people.	A	Use subordination; avoid comma splice.
FA_EN_025	A	EN	25					Comma: Intro Phrase	E5.T	Easy	After reviewing the data, we met.	Correct as is	After reviewing the data we met.	After, reviewing the data, we met.	After reviewing the data we, met.	A	Introductory phrase followed by a comma.
FA_EN_026	A	EN	26					Subject–Verb Agreement	E1.W	Easy	The committee ___ issuing its recommendation tomorrow.	is	are	has been	were	A	Collective noun acting as a unit → singular verb “is.”
FA_EN_027	A	EN	27					Pronoun Case	E2.O	Medium	Mara wrote more clearly than ___.	I	me	myself	her	A	Comparison is elliptical for “than I did” → subject case “I.”
FA_EN_028	A	EN	28					Verb Consistency	E3.P	Easy	The brochure lists venues and ___ ticket prices.	explains	explain	explained	is explaining	A	Maintain present tense with “lists.”
