id	form_id	section	ord	passage_id	passage_type	passage_title	passage_text	topic	skill_code	difficulty	passage_text	question	choice_a	choice_b	choice_c	choice_d	answer	explanation		
FA_SCI_001	A	SCI	1	S1	DR			Data Representation	S1.A	Easy	Table: Temperature (°C) → 10,20,30,40,50; Reaction rate (µmol/min) → 2,5,9,8,3. Conditions: pH 7, constant enzyme concentration.	At which temperature is the reaction rate highest?	10°C	20°C	30°C	40°C	C	Max value 9 at 30°C.		
FA_SCI_002	A	SCI	2	S1	DR			Data Representation	S1.B	Medium	(See S1 table.)	From 20°C to 40°C, the reaction rate changes by ___.	3	4	−2	1	A	8 − 5 = +3 µmol/min.		
FA_SCI_003	A	SCI	3	S1	DR			Reasoning from Data	S1.C	Hard		(See S1 table.) Which conclusion is supported by the data?	Enzyme denatures above 40°C.	Rate decreases above 40°C, but mechanism is not shown.	Enzyme works best at pH 9.	Rate is proportional to temperature.	B	Data only show a decrease; no mechanism or pH 9 info.		
FA_SCI_004	A	SCI	4	S1	DR			Experimental Design	S1.D	Medium		(See S1 table.) If pH were changed from 7 to 9 at 30°C, the table allows you to predict ____.	that the rate would increase	that the rate would decrease	that the rate would stay the same	neither direction nor magnitude	D	pH wasn’t varied; no prediction from given data.		
FA_SCI_005	A	SCI	5	S1	DR			Data Computation	S1.E	Medium		(See S1 table.) The rate at 10°C is what fraction of the rate at 50°C?	2/3	3/2	1/3	2/5	A	2 ÷ 3 = 2/3.		
FA_SCI_006	A	SCI	6	S2	RS			Research Summaries	S2.A	Medium	Exp 1 varied nitrogen (0,10,20,30 g/plant) at constant light/water; mean height at 6 weeks (cm): 12,18,27,26. Exp 2 fixed N=20 g and varied light (Low, Med, High); mean height (cm): 15,24,30.	What is the independent variable in Experiment 1?	Plant height	Amount of nitrogen	Light level	Time	B	Exp 1 manipulates nitrogen amount.		
FA_SCI_007	A	SCI	7	S2	RS			Research Summaries	S2.B	Easy		(See S2.) The dependent variable in both experiments is ____.	plant height at 6 weeks	nitrogen amount	light level	number of plants	A	Both measure height at 6 weeks.		
FA_SCI_008	A	SCI	8	S2	RS			Synthesis/Prediction	S2.C	Hard		(See S2.) Which combination would most likely maximize height?	0 g N and High light	30 g N and Low light	20 g N and High light	10 g N and Med light	C	Best N is ~20 g; best light is High → 30 cm observed.		
FA_SCI_009	A	SCI	9	S2	RS			Reasoning from Trends	S2.D	Medium		(See S2.) Based on Exp 1, plant height at 40 g N would most likely be ____.	greater than at 30 g	about the same as at 0 g	less than at 30 g but more than at 0 g	exactly 27 cm	C	Trend peaks near 20–30 g, then declines.		
FA_SCI_010	A	SCI	10	S2	RS			Controls/Design	S2.E	Medium		(See S2.) Which was held constant in Experiment 1?	Light level	Nitrogen	Plant height	Time	A	Light and water were controlled in Exp 1.		
FA_SCI_011	A	SCI	11	S2	RS			Competing Explanations	S2.F	Hard		(See S2.) Which conclusion is best supported?	Both nitrogen and light affect growth; nitrogen shows diminishing returns beyond ~20–30 g.	Light alone determines growth; nitrogen has no effect.	Nitrogen alone determines growth; light has no effect.	Neither factor affects growth.	A	Heights rise with N then level/slightly drop; higher light increases height.		
FA_SCI_012	A	SCI	12	S3	DR			Data Representation	S1.F	Easy	Table shows Solubility (g/100 mL water) vs Temperature (°C). Temp: 10, 20, 30, 40, 50. Salt A: 12, 18, 27, 36, 47. Salt B: 30, 32, 33, 33, 32.	At 40°C, which salt is more soluble?	Salt A	Salt B	Equal	Cannot determine	A	A: 36 vs B: 33 → Salt A.		
FA_SCI_013	A	SCI	13	S3	DR			Trends/Slope	S1.G	Medium		(See S3.) From 20°C to 50°C, Salt A increases by __ g/100 mL.	14	29	18	47	C	47 − 29? Careful: Salt A at 20°C is 18; at 50°C is 47 → +29.	B	Read values: 47 − 18 = 29.
